audio_id,audio_name,year,month,day,type,duration_min,audio_r2_url,audio_drive_url,transcript_id,transcript_name,transcript_r2_url,transcript_drive_url,mapping_confidence,match_reason
"a_46","0058--5712-Shvat 10d Sicha 3.mp3","5712","Shevat",10,"",9.09,"https://audio.kohnai.ai/training/0058--5712-Shvat%2010d%20Sicha%203.mp3","https://drive.google.com/file/d/1VfZmcuUrQxcKzqzbo0gy01sLN2JP_X9P/view","t_998","10 Shevat 5712 Sicha 1.docx","/api/transcript?name=10%20Shevat%205712%20Sicha%201.txt","https://drive.google.com/file/d/1ZXfM4_y4gS2_WUrY-qIIY_plpB4Dalzl/view",0.95,"50hr-selected"
"a_47","0059--5712-Shvat 10e Sicha 4.mp3","5712","Shevat",10,"",4.2,"https://audio.kohnai.ai/training/0059--5712-Shvat%2010e%20Sicha%204.mp3","https://drive.google.com/file/d/1wQWKfk3yIJ9rb_D7mE3jPFRjuUA4fVYR/view","t_998","10 Shevat 5712 Sicha 1.docx","/api/transcript?name=10%20Shevat%205712%20Sicha%201.txt","https://drive.google.com/file/d/1ZXfM4_y4gS2_WUrY-qIIY_plpB4Dalzl/view",0.95,"50hr-selected"
"a_45","0060--5712-Shvat 10f Sicha 5.mp3","5712","Shevat",10,"",5.12,"https://audio.kohnai.ai/training/0060--5712-Shvat%2010f%20Sicha%205.mp3","https://drive.google.com/file/d/1OIQkMFTUpcLu3TRB36n8Lg5MgVMwsirK/view","t_998","10 Shevat 5712 Sicha 1.docx","/api/transcript?name=10%20Shevat%205712%20Sicha%201.txt","https://drive.google.com/file/d/1ZXfM4_y4gS2_WUrY-qIIY_plpB4Dalzl/view",0.95,"50hr-selected"
"a_126","0088--5714-Shvat 10 Mamar.mp3","5714","Shevat",10,"",22.07,"https://audio.kohnai.ai/training/0088--5714-Shvat%2010%20Mamar.mp3","https://drive.google.com/file/d/1Gjm4Qv8sbRKjagRVNu3qWDx57mGJLzxY/view","t_1009","10 Shevat 5714 - Sichos 1, 2, 3.docx","/api/transcript?name=10%20Shevat%205714%20-%20Sichos%201%2C%202%2C%203.txt","https://drive.google.com/file/d/1GZlnKyHZGr7YVk8DDksnH9YEhAQosmwX/view",0.95,"50hr-selected"
"a_122","0091--5714-Shvat 10d Sicha 3.mp3","5714","Shevat",10,"",9,"https://audio.kohnai.ai/training/0091--5714-Shvat%2010d%20Sicha%203.mp3","https://drive.google.com/file/d/1QCxkHpKNYTmN6FK4PRkIATtfrFIo6Ydk/view","t_1009","10 Shevat 5714 - Sichos 1, 2, 3.docx","/api/transcript?name=10%20Shevat%205714%20-%20Sichos%201%2C%202%2C%203.txt","https://drive.google.com/file/d/1GZlnKyHZGr7YVk8DDksnH9YEhAQosmwX/view",0.95,"50hr-selected"
"a_123","0092--5714-Shvat 10e Sicha 4.mp3","5714","Shevat",10,"",7.45,"https://audio.kohnai.ai/training/0092--5714-Shvat%2010e%20Sicha%204.mp3","https://drive.google.com/file/d/1li06Qo0iu0Tu5gguUqqUOjn8yuMwki1n/view","t_1009","10 Shevat 5714 - Sichos 1, 2, 3.docx","/api/transcript?name=10%20Shevat%205714%20-%20Sichos%201%2C%202%2C%203.txt","https://drive.google.com/file/d/1GZlnKyHZGr7YVk8DDksnH9YEhAQosmwX/view",0.95,"50hr-selected"
"a_119","0094--5714-Shvat 10g Sicha 6.mp3","5714","Shevat",10,"",11.21,"https://audio.kohnai.ai/training/0094--5714-Shvat%2010g%20Sicha%206.mp3","https://drive.google.com/file/d/13XxRiL2-3HYN4p73NZmYQHKzVa0qy2dd/view","t_1009","10 Shevat 5714 - Sichos 1, 2, 3.docx","/api/transcript?name=10%20Shevat%205714%20-%20Sichos%201%2C%202%2C%203.txt","https://drive.google.com/file/d/1GZlnKyHZGr7YVk8DDksnH9YEhAQosmwX/view",0.95,"50hr-selected"
"a_117","0097--5714-Tamuz 12b Mamar.mp3","5714","Tamuz",12,"",19.51,"https://audio.kohnai.ai/training/0097--5714-Tamuz%2012b%20Mamar.mp3","https://drive.google.com/file/d/1AHY_KipzVe_ZbdzzKVZJtQvKaVF4mAm9/view","t_1003","12 Tammuz 5714 Sicha 9.docx","/api/transcript?name=12%20Tammuz%205714%20Sicha%209.txt","https://drive.google.com/file/d/1kpwHYSbaXEa9YlTA4B_wQ0P6gGfLNYCt/view",0.95,"50hr-selected"
"a_114","0100--5714-Tamuz 12e Sicha 4.mp3","5714","Tamuz",12,"",12.95,"https://audio.kohnai.ai/training/0100--5714-Tamuz%2012e%20Sicha%204.mp3","https://drive.google.com/file/d/1GzjAIFkp8mxvymIntB_8c69LeOYn1Epx/view","t_1003","12 Tammuz 5714 Sicha 9.docx","/api/transcript?name=12%20Tammuz%205714%20Sicha%209.txt","https://drive.google.com/file/d/1kpwHYSbaXEa9YlTA4B_wQ0P6gGfLNYCt/view",0.95,"50hr-selected"
"a_111","0102--5714-Tamuz 12g Sicha 6.mp3","5714","Tamuz",12,"",11.15,"https://audio.kohnai.ai/training/0102--5714-Tamuz%2012g%20Sicha%206.mp3","https://drive.google.com/file/d/18lJD6kx9GAM_Jpaznn8zUnciLmQ_3d0m/view","t_1003","12 Tammuz 5714 Sicha 9.docx","/api/transcript?name=12%20Tammuz%205714%20Sicha%209.txt","https://drive.google.com/file/d/1kpwHYSbaXEa9YlTA4B_wQ0P6gGfLNYCt/view",0.95,"50hr-selected"
"a_112","0103--5714-Tamuz 12h Sicha 7.mp3","5714","Tamuz",12,"",6.93,"https://audio.kohnai.ai/training/0103--5714-Tamuz%2012h%20Sicha%207.mp3","https://drive.google.com/file/d/1FA0LAGu2kBYVoO3eqcGCs33AGb4U1OSe/view","t_1003","12 Tammuz 5714 Sicha 9.docx","/api/transcript?name=12%20Tammuz%205714%20Sicha%209.txt","https://drive.google.com/file/d/1kpwHYSbaXEa9YlTA4B_wQ0P6gGfLNYCt/view",0.95,"50hr-selected"
"a_109","0104--5714-Tamuz 12i Sicha 8.mp3","5714","Tamuz",12,"",8.52,"https://audio.kohnai.ai/training/0104--5714-Tamuz%2012i%20Sicha%208.mp3","https://drive.google.com/file/d/14boBId-LsTr6Q_XX1yRoLAoNswmGBhP5/view","t_1003","12 Tammuz 5714 Sicha 9.docx","/api/transcript?name=12%20Tammuz%205714%20Sicha%209.txt","https://drive.google.com/file/d/1kpwHYSbaXEa9YlTA4B_wQ0P6gGfLNYCt/view",0.95,"50hr-selected"
"a_73","0140--5715-Tamuz 13b Mamar.mp3","5715","Tamuz",13,"",22.62,"https://audio.kohnai.ai/training/0140--5715-Tamuz%2013b%20Mamar.mp3","https://drive.google.com/file/d/1CsXKNDxZLH4YEYlKov7UUUJyYRhy8Y8D/view","t_1006","13 Tammuz 5715 - partial - Sicha 8.docx","/api/transcript?name=13%20Tammuz%205715%20-%20partial%20-%20Sicha%208.txt","https://drive.google.com/file/d/1s2_L5m2ES3enIrRyGoihyiGCbGKnOdLk/view",0.95,"50hr-selected"
"a_74","0141--5715-Tamuz 13c Sicha 2.mp3","5715","Tamuz",13,"",14.19,"https://audio.kohnai.ai/training/0141--5715-Tamuz%2013c%20Sicha%202.mp3","https://drive.google.com/file/d/1MH9s06oQTwr7IthfBOsVCQFWlE0RLw0V/view","t_1006","13 Tammuz 5715 - partial - Sicha 8.docx","/api/transcript?name=13%20Tammuz%205715%20-%20partial%20-%20Sicha%208.txt","https://drive.google.com/file/d/1s2_L5m2ES3enIrRyGoihyiGCbGKnOdLk/view",0.95,"50hr-selected"
"a_71","0144--5715-Tamuz 13f Sicha 5.mp3","5715","Tamuz",13,"",12.33,"https://audio.kohnai.ai/training/0144--5715-Tamuz%2013f%20Sicha%205.mp3","https://drive.google.com/file/d/1BqIEz7mr3f7rRRgOSjQM0bEiJ8uTORzV/view","t_1006","13 Tammuz 5715 - partial - Sicha 8.docx","/api/transcript?name=13%20Tammuz%205715%20-%20partial%20-%20Sicha%208.txt","https://drive.google.com/file/d/1s2_L5m2ES3enIrRyGoihyiGCbGKnOdLk/view",0.95,"50hr-selected"
"a_69","0145--5715-Tamuz 13h Sicha 6.mp3","5715","Tamuz",13,"",11.6,"https://audio.kohnai.ai/training/0145--5715-Tamuz%2013h%20Sicha%206.mp3","https://drive.google.com/file/d/1Tq5CaJD-ntm4ywGsCkIATMEnBCo3scht/view","t_1006","13 Tammuz 5715 - partial - Sicha 8.docx","/api/transcript?name=13%20Tammuz%205715%20-%20partial%20-%20Sicha%208.txt","https://drive.google.com/file/d/1s2_L5m2ES3enIrRyGoihyiGCbGKnOdLk/view",0.95,"50hr-selected"
"a_68","0146--5715-Tamuz 13i Sicha 7.mp3","5715","Tamuz",13,"",4.2,"https://audio.kohnai.ai/training/0146--5715-Tamuz%2013i%20Sicha%207.mp3","https://drive.google.com/file/d/16KyZAwWVuh45q3FBi44o_utNYkTRQcaw/view","t_1006","13 Tammuz 5715 - partial - Sicha 8.docx","/api/transcript?name=13%20Tammuz%205715%20-%20partial%20-%20Sicha%208.txt","https://drive.google.com/file/d/1s2_L5m2ES3enIrRyGoihyiGCbGKnOdLk/view",0.95,"50hr-selected"
"a_67","0147--5715-Tamuz 13j Sicha 8.mp3","5715","Tamuz",13,"",8.49,"https://audio.kohnai.ai/training/0147--5715-Tamuz%2013j%20Sicha%208.mp3","https://drive.google.com/file/d/1ZuWQWtXRuG_E_vATbvS02pUSXBTUTL-B/view","t_1006","13 Tammuz 5715 - partial - Sicha 8.docx","/api/transcript?name=13%20Tammuz%205715%20-%20partial%20-%20Sicha%208.txt","https://drive.google.com/file/d/1s2_L5m2ES3enIrRyGoihyiGCbGKnOdLk/view",0.95,"50hr-selected"
"a_65","0148--5715-Tamuz 13k Sicha 9.mp3","5715","Tamuz",13,"",4.3,"https://audio.kohnai.ai/training/0148--5715-Tamuz%2013k%20Sicha%209.mp3","https://drive.google.com/file/d/1MU1ZkeF9b8-g527CeAPWJuJuKlqK5McS/view","t_1006","13 Tammuz 5715 - partial - Sicha 8.docx","/api/transcript?name=13%20Tammuz%205715%20-%20partial%20-%20Sicha%208.txt","https://drive.google.com/file/d/1s2_L5m2ES3enIrRyGoihyiGCbGKnOdLk/view",0.95,"50hr-selected"
"a_3369","0186--5716-Shvat 10c Mamar.mp3","5716","Shevat",10,"",27.98,"https://audio.kohnai.ai/training/0186--5716-Shvat%2010c%20Mamar.mp3","https://drive.google.com/file/d/14sARlyeCu0xXAWPoiKjs7_pQinX0SlOM/view","t_999","10 Shevat 5716 Sicha 1.DOC","/api/transcript?name=10%20Shevat%205716%20Sicha%201.txt","https://drive.google.com/file/d/1m_tvjPP9nv6LVf18Fl9MG7go7nHgZvtX/view",0.95,"50hr-selected"
"a_3365","0191--5716-Shvat 10h Sicha 7.mp3","5716","Shevat",10,"",9.79,"https://audio.kohnai.ai/training/0191--5716-Shvat%2010h%20Sicha%207.mp3","https://drive.google.com/file/d/1fVDKFaLvL4n7loFj7SH8F-V2kBrOIhwT/view","t_999","10 Shevat 5716 Sicha 1.DOC","/api/transcript?name=10%20Shevat%205716%20Sicha%201.txt","https://drive.google.com/file/d/1m_tvjPP9nv6LVf18Fl9MG7go7nHgZvtX/view",0.95,"50hr-selected"
"a_3364","0192--5716-Shvat 10i Sicha 8.mp3","5716","Shevat",10,"",4.24,"https://audio.kohnai.ai/training/0192--5716-Shvat%2010i%20Sicha%208.mp3","https://drive.google.com/file/d/1ZeFqZRg7tlD2lBs_Lzye8q-IMYxKyeuS/view","t_999","10 Shevat 5716 Sicha 1.DOC","/api/transcript?name=10%20Shevat%205716%20Sicha%201.txt","https://drive.google.com/file/d/1m_tvjPP9nv6LVf18Fl9MG7go7nHgZvtX/view",0.95,"50hr-selected"
"a_3344","0212--5716-Tamuz 12c Mamar.mp3","5716","Tamuz",12,"",18.11,"https://audio.kohnai.ai/training/0212--5716-Tamuz%2012c%20Mamar.mp3","https://drive.google.com/file/d/1WiRgk1mNW8Z74xsmg35LHzcFyJrOc2T3/view","t_1002","12 Tammuz 5716 Sicha 5.docx","/api/transcript?name=12%20Tammuz%205716%20Sicha%205.txt","https://drive.google.com/file/d/19r8F2jamDrLU-E5PZuq0UY-U_DvxSWUv/view",0.95,"50hr-selected"
"a_3338","0217--5716-Tamuz 12h Sicha 7.mp3","5716","Tamuz",12,"",15.8,"https://audio.kohnai.ai/training/0217--5716-Tamuz%2012h%20Sicha%207.mp3","https://drive.google.com/file/d/1mRSZPweB1tphZ6e1h6Zp0C3UH2C8-zim/view","t_1002","12 Tammuz 5716 Sicha 5.docx","/api/transcript?name=12%20Tammuz%205716%20Sicha%205.txt","https://drive.google.com/file/d/19r8F2jamDrLU-E5PZuq0UY-U_DvxSWUv/view",0.95,"50hr-selected"
"a_3339","0218--5716-Tamuz 12i Sicha 8.mp3","5716","Tamuz",12,"",11.3,"https://audio.kohnai.ai/training/0218--5716-Tamuz%2012i%20Sicha%208.mp3","https://drive.google.com/file/d/1w8AoplrabgLYaqyMnWKPp5XZm-JkcK4-/view","t_1002","12 Tammuz 5716 Sicha 5.docx","/api/transcript?name=12%20Tammuz%205716%20Sicha%205.txt","https://drive.google.com/file/d/19r8F2jamDrLU-E5PZuq0UY-U_DvxSWUv/view",0.95,"50hr-selected"
"a_3337","0219--5716-Tamuz 12j Sicha 9.mp3","5716","Tamuz",12,"",11.39,"https://audio.kohnai.ai/training/0219--5716-Tamuz%2012j%20Sicha%209.mp3","https://drive.google.com/file/d/1qTvwnOxEHEh71WSIjrdB02V_tRzuUID7/view","t_1002","12 Tammuz 5716 Sicha 5.docx","/api/transcript?name=12%20Tammuz%205716%20Sicha%205.txt","https://drive.google.com/file/d/19r8F2jamDrLU-E5PZuq0UY-U_DvxSWUv/view",0.95,"50hr-selected"
"a_3769","0301--5718-Kislev 19 Sicha 1.mp3","5718","Kislev",19,"",17.7,"https://audio.kohnai.ai/training/0301--5718-Kislev%2019%20Sicha%201.mp3","https://drive.google.com/file/d/1S2OGmUpCYgFyumjQ621rniPajdCfQXzi/view","t_992","19 Kislev 5718 Sicha 1.docx","/api/transcript?name=19%20Kislev%205718%20Sicha%201.txt","https://drive.google.com/file/d/1td-xiS7TPg6RZ5GgekpfTGcOLxStZSg8/view",0.95,"50hr-selected"
"a_3768","0302--5718-Kislev 19b Sicha 2.mp3","5718","Kislev",19,"",14.57,"https://audio.kohnai.ai/training/0302--5718-Kislev%2019b%20Sicha%202.mp3","https://drive.google.com/file/d/13gHgiOYJcOl1emdh4Do4XZmA6AqWdQK1/view","t_992","19 Kislev 5718 Sicha 1.docx","/api/transcript?name=19%20Kislev%205718%20Sicha%201.txt","https://drive.google.com/file/d/1td-xiS7TPg6RZ5GgekpfTGcOLxStZSg8/view",0.95,"50hr-selected"
"a_3767","0303--5718-Kislev 19c Sicha 3.mp3","5718","Kislev",19,"",8.28,"https://audio.kohnai.ai/training/0303--5718-Kislev%2019c%20Sicha%203.mp3","https://drive.google.com/file/d/1kLmQK9Zaac1W9hrXcI_PWczsqVE12NMZ/view","t_992","19 Kislev 5718 Sicha 1.docx","/api/transcript?name=19%20Kislev%205718%20Sicha%201.txt","https://drive.google.com/file/d/1td-xiS7TPg6RZ5GgekpfTGcOLxStZSg8/view",0.95,"50hr-selected"
"a_3766","0304--5718-Kislev 19d Mamar.mp3","5718","Kislev",19,"",16.27,"https://audio.kohnai.ai/training/0304--5718-Kislev%2019d%20Mamar.mp3","https://drive.google.com/file/d/1tJ1ESbUZB2UoC1qiNSCf7bkXrjmT9qKf/view","t_992","19 Kislev 5718 Sicha 1.docx","/api/transcript?name=19%20Kislev%205718%20Sicha%201.txt","https://drive.google.com/file/d/1td-xiS7TPg6RZ5GgekpfTGcOLxStZSg8/view",0.95,"50hr-selected"
"a_3764","0306--5718-Kislev 19f Sicha 5.mp3","5718","Kislev",19,"",21.11,"https://audio.kohnai.ai/training/0306--5718-Kislev%2019f%20Sicha%205.mp3","https://drive.google.com/file/d/1Ztved_HKL9_xAo3y3pTAdMahTIq30LSx/view","t_992","19 Kislev 5718 Sicha 1.docx","/api/transcript?name=19%20Kislev%205718%20Sicha%201.txt","https://drive.google.com/file/d/1td-xiS7TPg6RZ5GgekpfTGcOLxStZSg8/view",0.95,"50hr-selected"
"a_3763","0307--5718-Kislev 19g Sicha 6.mp3","5718","Kislev",19,"",13.89,"https://audio.kohnai.ai/training/0307--5718-Kislev%2019g%20Sicha%206.mp3","https://drive.google.com/file/d/17SdfV68Z5aWPD1wwSPCjDBHHowJ1c8bW/view","t_992","19 Kislev 5718 Sicha 1.docx","/api/transcript?name=19%20Kislev%205718%20Sicha%201.txt","https://drive.google.com/file/d/1td-xiS7TPg6RZ5GgekpfTGcOLxStZSg8/view",0.95,"50hr-selected"
"a_3762","0308--5718-Kislev 19h Sicha 7.mp3","5718","Kislev",19,"",14.93,"https://audio.kohnai.ai/training/0308--5718-Kislev%2019h%20Sicha%207.mp3","https://drive.google.com/file/d/13WnFdpWYnDAhg4-dzj4DsA555A64bdJp/view","t_992","19 Kislev 5718 Sicha 1.docx","/api/transcript?name=19%20Kislev%205718%20Sicha%201.txt","https://drive.google.com/file/d/1td-xiS7TPg6RZ5GgekpfTGcOLxStZSg8/view",0.95,"50hr-selected"
"a_3761","0309--5718-Kislev 19i Sicha 8.mp3","5718","Kislev",19,"",23.89,"https://audio.kohnai.ai/training/0309--5718-Kislev%2019i%20Sicha%208.mp3","https://drive.google.com/file/d/1cAyV9pO92KHfHGJ0OC7Ov6pIJys5lyPO/view","t_992","19 Kislev 5718 Sicha 1.docx","/api/transcript?name=19%20Kislev%205718%20Sicha%201.txt","https://drive.google.com/file/d/1td-xiS7TPg6RZ5GgekpfTGcOLxStZSg8/view",0.95,"50hr-selected"
"a_3760","0310--5718-Kislev 19j Sicha 9.mp3","5718","Kislev",19,"",16.28,"https://audio.kohnai.ai/training/0310--5718-Kislev%2019j%20Sicha%209.mp3","https://drive.google.com/file/d/1cjUQaKBhZzb0GiXui_xwKAE1ovxrYU9Z/view","t_992","19 Kislev 5718 Sicha 1.docx","/api/transcript?name=19%20Kislev%205718%20Sicha%201.txt","https://drive.google.com/file/d/1td-xiS7TPg6RZ5GgekpfTGcOLxStZSg8/view",0.95,"50hr-selected"
"a_3836","0365--5719-Kislev 19e Mamar.mp3","5719","Kislev",19,"",24.93,"https://audio.kohnai.ai/training/0365--5719-Kislev%2019e%20Mamar.mp3","https://drive.google.com/file/d/1vTIpOOKgrzAdRSKKY9yY768QC84XG_pz/view","t_1000","19 Kislev 5719 - Sicha 1.docx","/api/transcript?name=19%20Kislev%205719%20-%20Sicha%201.txt","https://drive.google.com/file/d/1g81boiPeRzWIfFHCo-vZCkBtt-wBu6Ko/view",0.95,"50hr-selected"
"a_3827","0373--5719-Kislev 19m Sicha 12.mp3","5719","Kislev",19,"",16.15,"https://audio.kohnai.ai/training/0373--5719-Kislev%2019m%20Sicha%2012.mp3","https://drive.google.com/file/d/1ruztXi_ipXRPAX_P8wFQI9opawgZODpQ/view","t_1000","19 Kislev 5719 - Sicha 1.docx","/api/transcript?name=19%20Kislev%205719%20-%20Sicha%201.txt","https://drive.google.com/file/d/1g81boiPeRzWIfFHCo-vZCkBtt-wBu6Ko/view",0.95,"50hr-selected"
"a_3826","0374--5719-Kislev 19n Sicha 13.mp3","5719","Kislev",19,"",8.59,"https://audio.kohnai.ai/training/0374--5719-Kislev%2019n%20Sicha%2013.mp3","https://drive.google.com/file/d/1C4jTITGISNy55bJj2HZHqH6rqHgNc95C/view","t_1000","19 Kislev 5719 - Sicha 1.docx","/api/transcript?name=19%20Kislev%205719%20-%20Sicha%201.txt","https://drive.google.com/file/d/1g81boiPeRzWIfFHCo-vZCkBtt-wBu6Ko/view",0.95,"50hr-selected"
"a_3825","0375--5719-Kislev 19o Sicha 14.mp3","5719","Kislev",19,"",8.22,"https://audio.kohnai.ai/training/0375--5719-Kislev%2019o%20Sicha%2014.mp3","https://drive.google.com/file/d/18toDH6NF293ZV5PhtXtqaVNNYV7g-hv0/view","t_1000","19 Kislev 5719 - Sicha 1.docx","/api/transcript?name=19%20Kislev%205719%20-%20Sicha%201.txt","https://drive.google.com/file/d/1g81boiPeRzWIfFHCo-vZCkBtt-wBu6Ko/view",0.95,"50hr-selected"
"a_3819","0380--5719-Shvat 10d Mamar.mp3","5719","Shevat",10,"",26.71,"https://audio.kohnai.ai/training/0380--5719-Shvat%2010d%20Mamar.mp3","https://drive.google.com/file/d/1hgo9JsqwJZifctiy5FLrCfB4ikuwr6l_/view","t_991","10 Shevat 5719 Sicha 7.docx","/api/transcript?name=10%20Shevat%205719%20Sicha%207.txt","https://drive.google.com/file/d/1_mKgwo1K2C60SaaCeXAdIBGkCNWzYp-0/view",0.95,"50hr-selected"
"a_3815","0386--5719-Shvat 10j Sicha 9 many nigunim.mp3","5719","Shevat",10,"",25.12,"https://audio.kohnai.ai/training/0386--5719-Shvat%2010j%20Sicha%209%20many%20nigunim.mp3","https://drive.google.com/file/d/1TEd5gN6vES1maxgNFGghcSBKdwOgv6Gj/view","t_991","10 Shevat 5719 Sicha 7.docx","/api/transcript?name=10%20Shevat%205719%20Sicha%207.txt","https://drive.google.com/file/d/1_mKgwo1K2C60SaaCeXAdIBGkCNWzYp-0/view",0.95,"50hr-selected"
"a_3791","0409--5719-Tamuz 13f Mamar.mp3","5719","Tamuz",13,"",21.13,"https://audio.kohnai.ai/training/0409--5719-Tamuz%2013f%20Mamar.mp3","https://drive.google.com/file/d/1WAKO_GYHYrOYXGo43oFRO773Ao_yPLBm/view","t_1007","13 Tammuz 5719 - Italy.docx","/api/transcript?name=13%20Tammuz%205719%20-%20Italy.txt","https://drive.google.com/file/d/1URPX3CzT9-ek2ig7kVePeYl39pky2Mtf/view",0.95,"50hr-selected"
"a_3786","0415--5719-Tamuz 13l Sicha 11.mp3","5719","Tamuz",13,"",7.74,"https://audio.kohnai.ai/training/0415--5719-Tamuz%2013l%20Sicha%2011.mp3","https://drive.google.com/file/d/1iLwBKJFNTcTDgDOfijKPfmzqUopXr_ib/view","t_1007","13 Tammuz 5719 - Italy.docx","/api/transcript?name=13%20Tammuz%205719%20-%20Italy.txt","https://drive.google.com/file/d/1URPX3CzT9-ek2ig7kVePeYl39pky2Mtf/view",0.95,"50hr-selected"
